CASP,GroupName,GDT_TS,RMSD
CASP14,427,83.44495848973592,1.3453166657189528
CASP13,043,58.12969783840323,1.9898796980542348
CASP12,005,49.15911890845417,2.073250883600035
CASP11,420,44.82070141419386,2.1071062238388882
CASP10,330,55.64459558452726,1.952035874048156
CASP9,361,61.50298075546679,1.9570334895946193
CASP8,293,69.83484079845599,1.7256815695450636
